CandidateID,County,Votes
19748,MOULTRIE,2593
19748,CLAY,2588
19748,MASSAC,2478
19748,WABASH,2422
19748,JASPER,2401
19748,LAWRENCE,2370
19748,GREENE,2351
19748,CUMBERLAND,2282
19748,MARSHALL,2145
19748,MASON,2096
19748,CASS,1730
19748,EDWARDS,1643
19748,HAMILTON,1642
19748,SCHUYLER,1619
19748,HENDERSON,1200
19748,PULASKI,1117
19748,SCOTT,1081
19748,PUTNAM,1025
19748,STARK,1013
19748,CALHOUN,960
19748,BROWN,937
19748,POPE,928
19748,ALEXANDER,869
19748,GALLATIN,810
19748,HARDIN,793
19749,COOK,1014435
19749,DuPAGE,147484
19749,LAKE,112110
19749,WILL,109827
19749,KANE,63785
19749,McHENRY,45380
19749,WINNEBAGO,42960
19749,ST. CLAIR,39863
19749,SANGAMON,36767
19749,MADISON,36224
19749,CHAMPAIGN,28412
19749,PEORIA,27365
19749,ROCK ISLAND,24114
19749,McLEAN,22762
19749,TAZEWELL,19301
19749,KANKAKEE,18689
19749,LaSALLE,17905
19749,MACON,16142
19749,KENDALL,15261
19749,DeKALB,14254
19749,VERMILION,10274
19749,ADAMS,9420
19749,GRUNDY,8999
19749,WHITESIDE,8957
19749,WILLIAMSON,8683
19749,JACKSON,8674
19749,KNOX,8218
19749,HENRY,7602
19749,MACOUPIN,7513
19749,OGLE,7461
19749,BOONE,7390
19749,STEPHENSON,7346
19749,FULTON,6441
